id,label
0,912247
1,06379
2,50454
3,8870S
4,94503
5,R3275
6,55E246
7,556599
8,54549
9,86842
10,487483
11,X8575
12,252P89
13,87886J
14,95601
15,64845
16,0432N
17,194T3
18,5J561
19,15766
20,388058
21,863194
22,12G52
23,954608
24,012527
25,7984Y
26,54540
27,92786
28,52K92
29,77373
30,455384
31,78M434
32,770Q8
33,676Q8
34,786435
35,55073
36,74268
37,30972
38,786432
39,959G8
40,83650
41,82483
42,W92450
43,597085
44,52335
45,542699
46,284779
47,96967
48,7X2547
49,262F3
50,550893
51,63K92
52,911L3
53,5R9539
54,R2265
55,U8490
56,89767
57,844124
58,63375
59,908R45
60,362499
61,788F3
62,476681
63,51081
64,73E830
65,5116U8
66,4209A
67,56402
68,40202
69,N0215
70,97652
71,226946
72,S3410
73,71650
74,670810
75,107927
76,020705
77,523Q8
78,A3210
79,35715
80,1X8733
81,31C548
82,4679Z
83,J6145
84,280N83
85,7M696
86,114074
87,8G846
88,28455
89,11U42
90,791511
91,87X87
92,13G82
93,9N251
94,67526
95,17454
96,967542
97,54237
98,A1860
99,92L77
100,5248V
101,723539
102,16586
103,W71652
104,3806A
105,5X5033
106,342B03
107,377970
108,414674
109,0B621
110,22778
111,52536
112,24806
113,F7045
114,65322
115,789458
116,Y54468
117,0396M
118,52534
119,76S52
120,0H8803
121,880550
122,36558
123,02697
124,4823E
125,42700
126,91140
127,0282Y4
128,48E478
129,985G8
130,33698
131,165431
132,88817
133,K2310
134,711670
135,085889
136,46174
137,G4160
138,92035
139,473816
140,00011
141,75187
142,994565
143,77C386
144,2966D
145,800138
146,819196
147,16436
148,W71652
149,100230
150,Q81606
151,08523
152,05525
153,3R011
154,1380K0
155,935F3
156,U90084
157,89760
158,60380
159,220901
160,082J77
161,782B79
162,4P0781
163,255945
164,42A02
165,204108
166,53462
167,463A8
168,04353
169,73708
170,0205F
171,90929
172,7574G
173,17315
174,772S8
175,19775
176,7366K2
177,57217
178,7A386
179,62002
180,140119
181,885006
182,547115
183,7N0453
184,96L67
185,83U62
186,97062
187,48443
188,40651
189,S65502
190,65Y122
191,70916
192,061976
193,551V3
194,E73884
195,6S836
196,35235
197,43523T
198,69718
199,A4550
200,A2740
201,10700
202,406B85
203,435233
204,664667
205,88708
206,58014
207,033S8
208,G96612
209,551F05
210,545D67
211,N7085
212,125780
213,Y2340
214,9X4895
215,2372E0
216,463572
217,87601
218,55004
219,3D2317
220,140114
221,700533
222,36746
223,53W912
224,72Q72
225,46174
226,753916
227,50220
228,43188
229,10207
230,98951
231,38722
232,286390
233,G6960
234,501347
235,5H4417
236,11651
237,085565
238,97321
239,1634Q
240,45246
241,88356
242,538599
243,554D49
244,35238
245,82594
246,51208
247,537K8
248,964849
249,85001
250,56598
251,959277
252,84072
253,081466
254,59343
255,12297
256,61968
257,2H161
258,995978
259,6389R
260,952U8
261,8294E
262,5450E8
263,81866
264,64T37
265,3991J
266,40739
267,73669
268,27692
269,24781
270,9484B
271,Q84968
272,876457
273,69591
274,75925
275,463V3
276,28453
277,L2505
278,24897
279,9256S6
280,296628
281,93414
282,33774
283,04322
284,9647M8
285,503465
286,202Q8
287,06598
288,155198
289,Y2530
290,35067
291,3T3983
292,776530
293,942S8
294,965417
295,2D2789
296,58655
297,986076
298,D1925
299,82726
300,959271
301,6W816
302,714796
303,904057
304,24160
305,Y52494
306,42A778
307,17778
308,66222
309,394849
310,99774
311,296V89
312,5787Y
313,32987
314,88210
315,32633
316,822H77
317,1F8309
318,417J43
319,27521
320,942095
321,252500
322,95673
323,016610
324,50220
325,579807
326,5P2087
327,420F3
328,6Z8439
329,130536
330,165432
331,990F3
332,17315
333,390217
334,57998
335,50895
336,10573
337,74A42
338,55960
339,694387
340,05Q846
341,29U214
342,A7690
343,8A816
344,703479
345,42G784
346,656E8
347,0454U
348,038545
349,545Y8
350,00536
351,2053U
352,2352Y6
353,085561
354,39810
355,969585
356,392317
357,37G886
358,581848
359,439333
360,0B621
361,75857
362,N6645
363,8Q956
364,2H991
365,55C448
366,6U786
367,094P83
368,38205
369,91704
370,25332
371,574822
372,0B551
373,94304
374,1866B
375,0Z6857
376,3462S
377,66910
378,24P97
379,718882
380,2F811
381,202058
382,7659S2
383,273F3
384,7862A
385,86443
386,61336
387,663267
388,88G32
389,60B37
390,539P3
391,05039
392,80628
393,556L93
394,55U92
395,05029
396,28C62
397,921P3
398,970916
399,76560
400,S4580
401,05N47
402,9525C4
403,72357
404,76318
405,4474Y
406,95672
407,30S42
408,477R3
409,65A12
410,0W926
411,3X5931
412,W78734
413,52310
414,9484W
415,72584
416,551F05
417,9531A4
418,566J3
419,768B49
420,F2305
421,12021R
422,77S534
423,1866B
424,006858
425,14S22
426,65316
427,82955
428,513697
429,011D3
430,784720
431,12144
432,N0455
433,407P3
434,66201
435,08U22
436,88891
437,77S620
438,0P5759
439,A85566
440,290E8
441,30543
442,96307
443,57289
444,56409
445,74391
446,22955Z
447,82954
448,61535
449,6X491
450,D1745
451,6L001
452,64844
453,A7750
454,621875
455,221548
456,71637
457,70455H
458,266X35
459,24630
460,03J87
461,W2880
462,764832
463,7165D
464,28C62
465,32584
466,132588
467,47525
468,56901
469,20941
470,824Z23
471,252177
472,22730
473,95227
474,30509
475,05440
476,673L15
477,013B3
478,66755
479,91899
480,985738
481,5984S
482,00011
483,05C808
484,U70424
485,1262T
486,860S8
487,72713
488,907S8
489,W8610
490,56902
491,300J3
492,58944
493,01V07
494,362497
495,14V77
496,76463
497,86164
498,114064
499,92304
500,62498
501,79M504
502,509V3
503,1658W
504,94311
505,3872P
506,05U734
507,7N421
508,4P381
509,28857
510,R2245
511,53973
512,27043
513,92258
514,931038
515,155193
516,37766
517,28453
518,67H97
519,60V57
520,01428
521,20707
522,95863
523,20071
524,50R77
525,85W62
526,S4550
527,226959
528,157H3
529,53262
530,U4870
531,60462
532,91T77
533,52502
534,2477B
535,02384
536,96D07
537,67750Z
538,41A588
539,85007
540,683L55
541,95975
542,17449
543,S0660
544,40217
545,787D13
546,004G8
547,3H691
548,82C92
549,S9900
550,78635
551,940040
552,47118
553,52551
554,61322
555,84384
556,28988
557,50378
558,56646
559,5551E
560,239797
561,80672
562,90256
563,K72252
564,66714
565,30U404
566,A3570
567,7T481
568,245710
569,6V8485
570,5T2773
571,76438
572,45700
573,31801L
574,5P561
575,80251
576,8090S
577,18G22
578,58134
579,57Q708
580,40D17
581,37505
582,18895
583,33671
584,78505
585,96438
586,M70812
587,02060
588,C13454
589,916344
590,26951
591,55182
592,38G706
593,V1625
594,64836
595,4506L
596,10698
597,3388L
598,75726
599,06472
600,16X47
601,X8705
602,42094
603,46663
604,874409
605,640240
606,585945
607,29430
608,51733
609,0180P
610,292787
611,104324
612,19826
613,93629
614,78623
615,78856
616,224903
617,737T3
618,682Y8
619,28C62
620,88435
621,J3185
622,11666
623,342B03
624,38C074
625,V4685
626,Z7565
627,68015
628,19769
629,22774
630,388210
631,84980
632,71767
633,977778
634,3D341
635,07575
636,60484
637,58695
638,54612
639,T2955
640,23686
641,6675M
642,144T3
643,Q1940
644,14043
645,055826
646,52883
647,195K8
648,37510
649,2620B
650,70656
651,64772
652,227K8
653,9881W6
654,446U8
655,7R4629
656,4T3045
657,72253
658,E9130
659,53698
660,345777
661,05K22
662,52Q02
663,466T3
664,89797
665,92L37
666,E7770
667,801112
668,S85002
669,B1885
670,82954
671,0684L
672,76S834
673,48234
674,7169M
675,88008
676,01363H
677,48437
678,54357
679,44946
680,10700
681,409196
682,39B07
683,1E016
684,738R3
685,76Y436
686,09608
687,E19186
688,2873E
689,352111
690,99731
691,27967
692,N3965
693,42821
694,969G8
695,25791
696,349885
697,N3915
698,618632
699,96633
700,27521
701,S52266
702,A1180
703,86847
704,002754
705,253T3
706,07370Z
707,85962
708,65235
709,71621
710,0858K8
711,78589
712,382066
713,90208
714,Y90258
715,700454
716,34636
717,653030
718,4085U2
719,689327
720,49876
721,39919
722,506235
723,2B041
724,00M32
725,5N4423
726,62J17
727,388214
728,65949
729,65503
730,050834
731,02S714
732,01435
733,61852
734,03475
735,69B77
736,08048
737,88013
738,38068
739,695456
740,23922
741,0D8179
742,56360
743,R3675
744,5V3903
745,E0740
746,37752
747,44338
748,077369
749,M6530
750,89657
751,002767
752,26813
753,902012
754,28986
755,69579
756,20C156
757,33U632
758,14078T
759,5G266
760,72860
761,787F3
762,52107
763,206144
764,377935
765,3966T
766,70362
767,082J77
768,59801
769,70250P
770,02767
771,75M32
772,545233
773,97064
774,0T4105
775,247524
776,79802
777,00008
778,189764
779,20C468
780,32K124
781,W7720
782,9020W4
783,E0610
784,N0205
785,99013
786,509V3
787,976X3
788,0395H
789,897Q8
790,0S156
791,962Z05
792,72578
793,15976
794,68686
795,26446
796,092039
797,8631U4
798,47116
799,54465
800,02G02
801,56409
802,82937
803,897P3
804,M1970
805,90530
806,76587
807,90755
808,893823
809,56280
810,02694
811,46S92
812,950272
813,03153
814,621872
815,8Z511
816,546795
817,Q04550
818,28987
819,218H3
820,56L27
821,60376
822,5665F
823,495673
824,7H5967
825,04P57
826,49K206
827,558642
828,408529
829,80330
830,717402
831,701434
832,61322
833,Y2850
834,828920
835,04432
836,48398
837,9772Q
838,20683
839,71464
840,61217
841,7695Z
842,02756
843,5927Z
844,817146
845,85001
846,72247
847,61222
848,82954
849,592N3
850,7757K0
851,53S500
852,04R37
853,539907
854,G2500
855,310496
856,Q15400
857,790535
858,977549
859,792579
860,382491
861,W1880
862,12020
863,358Q8
864,99302
865,83915
866,11246
867,97549X
868,2898Z
